,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
554,2,2,2,4,3,7,0,0,2,0,3,4,8,0,6,7,43,11
555,3,2,1,2,1,1,0,0,2,0,1,2,6,0,6,7,49,8
556,2,1,1,4,2,6,0,0,2,0,2,5,7,0,6,7,49,8
557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11,9
558,2,1,1,3,2,3,0,0,2,0,2,4,6,0,7,7,11,9
559,2,1,5,2,6,6,1,3,6,0,5,5,6,3,1,7,26,9
560,1,1,3,1,4,5,0,0,5,0,7,5,5,0,2,7,32,11
561,1,1,2,4,2,3,0,0,2,0,1,3,8,0,9,7,32,2
562,3,3,2,4,2,2,0,0,2,0,1,2,8,0,8,7,32,2
563,1,1,1,2,1,1,0,0,2,0,1,1,6,0,4,7,29,11
564,2,2,2,3,2,3,0,0,2,0,2,4,7,0,6,7,0,11
565,1,1,1,1,1,2,0,0,2,0,2,2,5,0,8,7,32,11
566,1,1,1,3,2,4,0,0,2,0,2,4,6,0,8,7,32,2
567,2,1,2,3,3,5,0,0,3,0,2,5,6,0,8,7,29,2
568,0,0,1,1,1,1,0,0,1,0,1,2,5,0,9,6,0,8
569,6,5,1,4,1,1,0,0,1,0,1,2,8,0,9,6,62,2
570,9,9,3,3,1,1,0,0,2,0,3,1,3,0,0,6,5,4
571,2,2,3,2,8,8,0,0,7,0,8,8,6,0,6,6,23,11
572,2,2,1,2,1,2,0,0,1,0,1,2,6,0,9,0,33,0
573,7,6,2,7,2,6,0,0,2,0,3,5,3,0,8,0,15,2
574,6,6,4,2,5,4,2,1,6,1,8,2,3,1,4,0,4,9
575,7,6,3,2,4,3,0,0,4,0,8,0,0,0,2,0,10,9
576,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,9
577,4,4,3,1,1,1,0,0,5,0,5,1,5,0,6,0,58,12
578,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,13
579,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,13
580,5,5,2,3,1,2,0,0,3,0,2,3,4,0,7,0,62,11
581,7,7,4,5,3,3,2,2,3,1,6,3,5,3,7,0,9,9
582,8,9,3,6,2,2,0,0,3,0,6,4,3,0,3,0,9,11
583,6,6,6,4,3,4,1,4,4,0,7,5,4,3,5,0,62,14
584,3,2,1,2,2,4,0,0,2,0,5,2,6,0,8,0,43,2
585,5,4,3,4,1,2,0,0,2,0,1,2,5,0,2,0,23,4
586,9,9,4,4,2,1,2,1,5,1,8,1,1,0,0,0,57,4
587,4,4,3,4,4,5,0,0,3,0,5,5,4,0,3,0,29,6
588,4,4,5,1,2,1,1,3,8,0,4,1,5,3,8,0,53,0
589,9,9,4,3,2,2,1,2,5,0,8,1,4,3,1,0,23,2
590,1,1,3,2,7,8,0,0,3,0,8,3,6,0,6,0,5,11
591,6,6,3,4,2,2,0,0,5,0,6,2,4,0,8,0,62,6
592,6,6,3,4,3,4,0,0,3,0,8,4,7,0,7,0,23,4
593,7,6,7,6,6,6,2,4,5,3,7,3,2,1,7,0,26,13
594,9,9,4,7,3,3,1,1,2,0,8,3,3,3,5,0,25,4
595,6,5,3,6,2,2,0,0,2,0,2,5,4,0,8,0,32,6
596,4,4,3,4,3,4,0,0,3,0,3,4,8,0,8,0,26,2
597,5,4,2,5,2,3,0,0,2,0,4,4,3,0,8,0,13,14
598,5,4,2,8,4,7,0,0,3,0,1,7,3,0,8,0,50,12
599,5,4,3,5,2,3,0,0,3,0,2,3,4,0,9,0,29,7
600,1,1,5,2,8,8,1,4,7,0,7,8,6,3,9,0,50,8
601,8,7,7,7,6,4,4,4,8,3,6,4,3,2,8,5,13,3
602,6,5,3,5,2,2,0,0,2,0,2,3,4,0,8,5,43,10
603,8,8,8,7,7,4,5,5,8,3,7,4,4,2,6,5,53,12
604,5,5,6,2,3,2,2,4,7,2,5,2,6,3,8,5,58,10
605,7,7,3,7,2,2,0,0,2,0,2,3,4,0,7,5,58,12
606,6,5,7,5,6,5,3,3,8,3,6,3,8,3,5,5,50,12
607,6,6,4,5,2,2,1,1,2,0,4,3,3,3,5,5,58,12
608,6,6,7,7,7,6,5,4,8,3,4,7,5,3,9,5,62,12
609,6,5,5,3,3,2,2,2,7,2,4,2,4,3,7,5,23,12
610,9,9,2,3,1,1,0,0,2,0,2,1,7,0,9,5,60,5
611,7,6,7,4,7,6,3,4,8,3,8,7,3,2,8,5,29,12
612,5,5,3,1,2,2,0,0,6,0,8,3,5,0,7,5,29,12
613,5,4,7,4,7,5,3,4,9,3,7,6,4,3,5,5,23,11
614,9,9,8,6,5,2,5,4,9,4,6,3,2,1,2,5,45,5
615,6,6,2,5,2,2,0,0,2,0,5,3,4,0,6,5,23,11
616,8,8,2,7,2,2,0,0,2,0,3,2,3,0,8,5,23,5
617,7,7,7,7,7,5,5,5,9,3,5,7,3,2,3,5,23,4
618,5,4,7,4,8,8,2,4,8,4,8,8,4,3,4,5,29,6
619,9,8,5,8,2,4,1,3,2,0,2,4,2,3,5,5,29,9
620,4,4,5,3,7,8,1,4,6,0,8,7,6,3,5,5,23,7
621,9,9,7,7,5,2,5,4,7,3,5,2,2,1,8,5,26,2
622,9,9,7,7,3,2,5,3,6,3,4,2,3,2,1,5,26,4
623,7,8,7,7,6,6,4,4,6,3,5,4,5,3,6,5,5,5
624,5,5,7,4,7,4,4,5,9,3,6,5,3,2,2,5,23,11
625,5,5,7,5,7,6,3,4,7,3,6,6,5,3,4,5,23,7
626,9,8,3,8,3,5,0,0,2,0,3,7,1,0,7,5,16,9
627,3,3,6,4,7,5,3,3,8,2,4,5,7,3,5,5,58,14
628,6,5,7,4,7,4,3,4,8,4,6,3,8,3,2,5,58,11
629,1,1,6,2,4,2,1,4,8,1,3,2,6,3,6,5,58,8
630,6,6,7,6,7,5,5,5,9,2,4,6,4,3,3,5,23,14
631,5,5,7,4,7,4,3,4,9,2,6,4,7,3,5,5,58,5
632,7,7,7,6,7,5,5,4,9,4,6,6,5,3,4,5,58,11
633,9,9,8,8,5,3,5,3,8,3,5,3,2,1,6,5,13,4
634,5,6,6,5,7,6,4,3,8,2,6,6,4,2,6,5,58,5
635,1,1,5,2,5,3,1,3,7,0,3,4,6,3,6,5,62,4
636,9,9,7,8,6,3,5,4,8,3,5,6,2,1,4,5,5,5
637,6,6,7,6,7,4,4,4,8,3,5,4,2,1,5,5,16,12
638,5,4,7,4,8,8,3,4,8,4,8,8,8,3,8,5,0,6
639,4,4,7,2,7,6,2,4,8,4,8,3,6,3,7,5,5,11
640,6,5,6,3,7,4,2,4,8,2,8,5,4,3,6,5,7,12
641,3,2,4,2,4,3,1,2,6,0,4,4,6,3,7,5,32,11
642,2,2,7,3,8,8,2,4,8,4,8,7,6,3,7,5,24,11
643,4,3,5,3,7,7,2,3,7,2,6,7,7,3,7,5,13,12
644,2,2,5,3,8,8,2,3,8,1,6,8,6,3,8,5,13,11
645,5,4,6,2,5,4,1,4,8,0,8,5,6,3,7,5,5,12
646,5,5,3,5,3,4,0,0,4,0,3,6,4,0,7,5,25,13
647,5,4,2,8,5,7,0,0,3,0,1,8,4,0,8,5,13,12
648,5,4,6,4,7,5,3,3,8,2,6,5,4,3,8,5,26,5
649,4,4,3,8,4,7,0,0,3,0,1,7,3,0,8,5,13,14
650,6,6,2,4,4,7,0,0,2,0,8,8,8,0,8,5,32,5
651,6,5,3,8,5,7,0,0,3,0,1,8,3,0,8,5,13,5
652,5,5,3,8,3,6,0,0,3,0,1,7,3,0,9,5,13,14
653,4,4,4,5,6,6,1,1,5,0,5,7,5,3,9,5,13,7
654,3,3,3,4,6,8,0,0,5,0,5,8,8,0,9,5,13,3
655,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,42,8
656,4,3,1,5,1,2,0,0,2,0,1,2,8,0,8,1,4,9
657,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,42,8
658,4,4,1,2,1,1,0,0,1,0,2,1,6,0,6,1,42,11
659,4,4,1,5,2,6,0,0,2,0,3,5,8,0,7,1,49,8
660,2,2,3,4,3,8,0,0,2,0,4,8,8,0,8,1,13,9
661,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,42,9
662,2,2,1,3,2,5,0,0,2,0,3,4,7,0,7,1,43,9
663,2,2,1,3,2,3,0,0,2,0,3,2,6,0,5,1,42,9
664,4,3,1,4,1,1,0,0,1,0,1,2,8,0,6,1,47,9
665,3,3,1,5,2,5,0,0,1,0,2,4,5,0,5,1,42,9
666,3,2,1,2,1,2,0,0,2,0,2,1,6,0,6,1,42,9
667,2,1,1,4,2,7,0,0,1,0,3,5,7,0,5,1,42,9
668,6,6,7,5,7,3,3,4,7,4,5,4,4,2,6,1,47,11
669,3,2,1,1,1,1,0,0,2,0,2,1,5,0,6,1,42,8
670,6,5,7,4,6,6,2,3,7,4,8,4,3,3,4,1,4,9
671,4,3,1,4,2,7,0,0,2,0,6,5,4,0,4,1,42,9
672,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,42,9
673,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,42,9
674,6,5,3,3,1,1,0,0,3,0,1,1,4,0,9,1,58,3
675,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,42,9
676,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,42,9
677,5,4,5,1,3,1,1,4,9,3,7,1,5,3,4,1,43,12
678,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,42,9
679,3,2,5,2,7,6,2,2,8,4,7,2,6,3,2,1,35,9
680,3,2,7,2,8,8,2,4,8,4,8,4,6,3,2,1,1,9
681,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,42,9
682,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,42,9
683,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,42,9
684,2,2,6,3,8,8,3,3,8,3,7,8,6,3,1,1,42,9
